id,Name,Univ,Year,Country,Title,Advisor,Students
94678,Vladimir Nikolaevich Potapov,Novosibirsk State University,1997,Russia,,['56754'],['269713']
56754,Rafail Evseevich Krichevskii,"Sobolev Institute of Mathematics, Novosibirsk",1963,Russia,Lower bounds of the complexity for the realization of functions by superpositions,"['55572', '56760']",['94678']
269713,Anna Aleksandrovna Taranenko,"Sobolev Institute of Mathematics, Novosibirsk",2017,Russia,Permanents of multidimensional matrices in problems of discrete mathematics,['94678'],[]
55572,Aleksei Andreevich Lyapunov,Steklov Institute of Mathematics,1939,Russia,,"['10479', '55513']","['55746', '56751', '56750', '56749', '56748', '56758', '141979', '56753', '56754', '56756', '56752', '56759', '56761', '56760', '56757']"
56760,Sergei Vsevoldovich Yablonskii,Lomonosov Moscow State University,1953,Russia,On the Functional Completeness in k-Valued Calculus,"['55513', '55572']","['180637', '113863', '56754', '56752', '168397', '187473', '181007', '168227']"
10479,Nikolai Nikolayevich Luzin,Lomonosov Moscow State University,1915,Russia,The Integral and Trigonometric Series,['24109'],"['24408', '36443', '90373', '108322', '108323', '36445', '56857', '10480', '76948', '36441', '59649', '55572', '24407', '55513', '207833', '36444', '6528', '36446']"
55513,Petr Sergeevich Novikov,,,None,,['10479'],"['93533', '69996', '168307', '55572', '113668', '76166', '132047', '56760']"
55746,Vladimir Ilyich Amstislavskii,Novosibirsk State University,1968,Russia,,['55572'],[]
56751,Vasilii Yakovlevich Arsenin,,,None,,['55572'],['99294']
56750,Galina Pavlovna Bagrinovskaya,,,None,,['55572'],[]
56749,Nikolai Panteleimonovich Buslenko,,,None,,['55572'],['120975']
56748,Andrei Petrovich Ershov,Russian Academy of Sciences Siberian Branch,1961,Russia,Операторные алгорифмы (Operational algorithms),['55572'],['224104']
56758,Gennadii Shmerel'evich Fridman,,,None,,['55572'],[]
141979,Tatiana Leonidovna Gavrilova,Lomonosov Moscow State University,1973,Russia,Grammar Graph Construction On The Base of the Analysed finite Text,['55572'],[]
56753,Georgii Petrovich Karev,,,None,,['55572'],[]
56756,Olga Sergeevna Kulagina,,,None,,['55572'],[]
56752,Oleg Borisovich Lupanov,Lomonosov Moscow State University,1958,Russia,On Synthesis of Contact Circuits,"['55572', '56760']","['120301', '52859', '180636']"
56759,Rimma Ivanovna Podlovchenko,,,None,,['55572'],[]
56761,Yuriy Leonidovich Vasil'ev,,,None,,['55572'],['151179']
56757,Yuri Ivanovich Zhuravlev,Lomonosov Moscow State University,1960,Russia,Algorithms for simplification of disjunctive normal forms,['55572'],"['162969', '185618', '248960', '170436', '79755', '199570']"
180637,Valeri Borisovich Alekseev,Lomonosov Moscow State University,1972,Russia,On simple bases of k-valued logic,['56760'],['232530']
